iter	Passed	Remaining
639	9999	5624
640	10011	5606
641	10023	5589
642	10034	5571
643	10045	5553
644	10057	5535
645	10069	5517
646	10081	5500
647	10098	5485
648	10110	5468
649	10123	5450
650	10133	5432
651	10145	5415
652	10156	5396
653	10167	5378
654	10183	5363
655	10197	5347
656	10210	5330
657	10222	5312
658	10234	5295
659	10247	5278
660	10260	5262
661	10274	5245
662	10287	5229
663	10301	5212
664	10309	5193
665	10320	5175
666	10331	5158
667	10346	5142
668	10361	5126
669	10382	5113
670	10392	5095
671	10406	5079
672	10421	5063
673	10439	5049
674	10453	5033
675	10466	5016
676	10477	4999
677	10491	4982
678	10503	4965
679	10515	4948
680	10531	4933
681	10542	4915
682	10554	4898
683	10570	4883
684	10584	4867
685	10597	4850
686	10609	4833
687	10624	4818
688	10637	4801
689	10660	4789
690	10680	4775
691	10696	4760
692	10724	4750
693	10734	4733
694	10745	4715
695	10759	4699
696	10773	4683
697	10781	4664
698	10791	4646
699	10801	4629
700	10811	4611
701	10823	4594
702	10834	4577
703	10855	4564
704	10869	4548
705	10883	4532
706	10896	4515
707	10914	4501
708	10927	4485
709	10941	4468
710	10955	4453
711	10965	4435
712	10979	4419
713	10992	4402
714	11006	4387
715	11016	4369
716	11026	4352
717	11034	4333
718	11065	4324
719	11097	4315
720	11113	4300
721	11130	4285
722	11142	4269
723	11158	4253
724	11171	4237
725	11185	4221
726	11196	4204
727	11207	4187
728	11220	4170
729	11234	4155
730	11244	4137
731	11265	4124
732	11288	4111
733	11298	4094
734	11310	4077
735	11331	4064
736	11350	4050
737	11360	4033
738	11370	4015
739	11380	3998
740	11389	3980
741	11402	3964
742	11414	3948
743	11429	3932
744	11443	3916
745	11452	3899
746	11461	3881
747	11477	3866
748	11488	3849
749	11506	3835
750	11521	3820
751	11541	3806
752	11557	3791
753	11569	3774
754	11582	3758
755	11597	3743
756	11610	3726
757	11621	3710
758	11631	3693
759	11639	3675
760	11654	3660
761	11670	3645
762	11687	3630
763	11697	3613
764	11716	3599
765	11740	3586
766	11769	3575
767	11790	3561
768	11808	3547
769	11832	3534
770	11848	3519
771	11866	3504
772	11883	3489
773	11900	3474
774	11916	3459
775	11939	3446
776	11960	3432
777	11981	3418
778	12005	3406
779	12020	3390
780	12030	3373
781	12042	3357
782	12057	3341
783	12081	3328
784	12097	3313
785	12111	3297
786	12131	3283
787	12175	3275
788	12188	3259
789	12215	3247
790	12229	3231
791	12250	3217
792	12264	3201
793	12285	3187
794	12304	3172
795	12335	3161
796	12387	3155
797	12403	3139
798	12426	3126
799	12444	3111
800	12454	3094
801	12464	3077
802	12472	3059
803	12489	3044
804	12506	3029
805	12515	3012
806	12523	2994
807	12531	2977
808	12540	2960
809	12547	2943
810	12560	2927
811	12572	2910
812	12581	2893
813	12590	2876
814	12602	2860
815	12609	2843
816	12624	2827
817	12639	2812
818	12651	2795
819	12659	2778
820	12667	2761
821	12675	2744
822	12684	2727
823	12693	2711
824	12701	2694
825	12709	2677
826	12717	2660
827	12726	2643
828	12735	2626
829	12743	2610
830	12752	2593
831	12760	2576
832	12773	2560
833	12784	2544
834	12795	2528
835	12804	2511
836	12815	2495
837	12825	2479
838	12834	2462
839	12844	2446
840	12856	2430
841	12865	2414
842	12873	2397
843	12884	2381
844	12893	2365
845	12902	2348
846	12910	2332
847	12918	2315
848	12927	2299
849	12935	2282
850	12943	2266
851	12951	2249
852	12959	2233
853	12969	2217
854	12977	2200
855	12986	2184
856	12995	2168
857	13002	2151
858	13013	2136
859	13021	2119
860	13031	2103
861	13043	2088
862	13055	2072
863	13064	2056
864	13076	2040
865	13084	2024
866	13092	2008
867	13101	1992
868	13110	1976
869	13118	1960
870	13127	1944
871	13135	1928
872	13143	1912
873	13152	1896
874	13159	1879
875	13167	1863
876	13175	1847
877	13183	1831
878	13192	1816
879	13200	1800
880	13214	1784
881	13221	1768
882	13238	1754
883	13247	1738
884	13254	1722
885	13262	1706
886	13274	1691
887	13283	1675
888	13293	1659
889	13306	1644
890	13314	1628
891	13322	1613
892	13330	1597
893	13338	1581
894	13347	1565
895	13356	1550
896	13364	1534
897	13371	1518
898	13379	1503
899	13389	1487
900	13398	1472
901	13407	1456
902	13414	1441
903	13429	1426
904	13442	1411
905	13450	1395
906	13460	1380
907	13468	1364
908	13475	1349
909	13490	1334
910	13500	1318
911	13508	1303
912	13520	1288
913	13527	1272
914	13537	1257
915	13545	1242
916	13553	1226
917	13560	1211
918	13568	1195
919	13576	1180
920	13583	1165
921	13591	1149
922	13599	1134
923	13607	1119
924	13615	1103
925	13623	1088
926	13630	1073
927	13645	1058
928	13657	1043
929	13666	1028
930	13674	1013
931	13688	998
932	13700	983
933	13708	968
934	13719	953
935	13731	938
936	13739	923
937	13747	908
938	13754	893
939	13762	878
940	13770	863
941	13777	848
942	13785	833
943	13793	818
944	13800	803
945	13807	788
946	13815	773
947	13822	758
948	13829	743
949	13875	730
950	13888	715
951	13902	700
952	13910	686
953	13919	671
954	13932	656
955	13940	641
956	13949	626
957	13957	611
958	13964	597
959	13972	582
960	13980	567
961	13988	552
962	13995	537
963	14002	522
964	14010	508
965	14017	493
966	14025	478
967	14036	464
968	14043	449
969	14051	434
970	14059	419
971	14066	405
972	14074	390
973	14089	376
974	14102	361
975	14115	347
976	14130	332
977	14137	318
978	14148	303
979	14161	289
980	14169	274
981	14180	259
982	14189	245
983	14196	230
984	14205	216
985	14212	201
986	14219	187
987	14226	172
988	14233	158
989	14240	143
990	14247	129
991	14254	114
992	14261	100
993	14268	86
994	14275	71
995	14282	57
996	14289	42
997	14297	28
998	14305	14
999	14313	0
5398	30
998	15408	15
999	15419	0
