iter	Logloss
0	0.6828665199
1	0.6729981533
2	0.662854627
3	0.6534482313
4	0.645801609
5	0.636387953
6	0.6284764901
7	0.6219256091
8	0.6148274721
9	0.6086693587
10	0.6027175786
11	0.5960708876
12	0.5900636014
13	0.5838620281
14	0.5788878921
15	0.5737202084
16	0.5673246022
17	0.5628553111
18	0.557743213
19	0.5527754557
20	0.5478691573
21	0.5435839767
22	0.5395637221
23	0.5361525845
24	0.5324198982
25	0.5291276826
26	0.5254078917
27	0.52254529
28	0.5202475258
29	0.517965067
30	0.5148412411
31	0.5119943799
32	0.509878902
33	0.5075517398
34	0.5055741614
35	0.5037622041
36	0.5007967221
37	0.4984196395
38	0.496845535
39	0.4943652107
40	0.4923305826
41	0.490296804
42	0.4888447235
43	0.4867763475
44	0.4842979797
45	0.4826311738
46	0.4807733101
47	0.4790160681
48	0.4770209702
49	0.4753844437
50	0.4729375778
51	0.4714710956
52	0.4701908297
53	0.4688467124
54	0.4673142665
55	0.4658263955
56	0.4644966674
57	0.462341174
58	0.4605695873
59	0.4594507014
60	0.458120183
61	0.4567106232
62	0.4556689891
63	0.4541095233
64	0.4529292126
65	0.4517497879
66	0.4508568627
67	0.4492939256
68	0.4475459128
69	0.4466403337
70	0.4458297175
71	0.4451379348
72	0.4442545928
73	0.4433854643
74	0.4424180027
75	0.4412891175
76	0.4403542064
77	0.4396546579
78	0.4385125264
79	0.4372025338
80	0.4365054029
81	0.4360241191
82	0.4353354203
83	0.434704027
84	0.4339159538
85	0.4333467426
86	0.4327353353
87	0.4321551285
88	0.4312084819
89	0.4305447312
90	0.4298272148
91	0.4292443388
92	0.4286383595
93	0.427812403
94	0.4270911586
95	0.4264509424
96	0.4259095273
97	0.4252321538
98	0.4244871382
99	0.4237409218
100	0.4230892887
101	0.4226058246
102	0.4221831976
103	0.4216456909
104	0.4209665976
105	0.4204779131
106	0.4197373904
107	0.4193907546
108	0.4188923208
109	0.4182797926
110	0.4177887047
111	0.4172220457
112	0.4168534089
113	0.4163385359
114	0.4159662853
115	0.4153562152
116	0.414569368
117	0.4141735679
118	0.4136051751
119	0.413097767
120	0.4124979946
121	0.4118795708
122	0.4115570527
123	0.4112605495
124	0.4107196545
125	0.4103017075
126	0.4096488689
127	0.4093778503
128	0.4089526814
129	0.4086342783
130	0.4081998996
131	0.4078057263
132	0.4074857412
133	0.4071025065
134	0.4067314715
135	0.4063362097
136	0.4060341857
137	0.4055849288
138	0.4052359629
139	0.4048908453
140	0.4046129268
141	0.4040302107
142	0.4035473571
143	0.4032144595
144	0.4026523909
145	0.4018481635
146	0.4012629339
147	0.4009718536
148	0.4006466428
149	0.4004018383
150	0.3996941076
151	0.3992578439
152	0.398828811
153	0.3983934886
154	0.3981187725
155	0.3978085815
156	0.3973830492
157	0.3971055551
158	0.3966700005
159	0.3964265983
160	0.39611453
161	0.395816806
162	0.3955709412
163	0.395005437
164	0.3946206744
165	0.3943173733
166	0.394017783
167	0.393777694
168	0.3933685663
169	0.3931717679
170	0.3928320079
171	0.3924898739
172	0.3922925324
173	0.3919524143
174	0.3917151711
175	0.3914412047
176	0.3911202039
177	0.3904616803
178	0.3901386012
179	0.3898112583
180	0.3892470779
181	0.3888840521
182	0.3884723623
183	0.3881916128
184	0.387922324
185	0.387689678
186	0.3873752297
187	0.3871377955
188	0.3869777176
189	0.386760233
190	0.3864248691
191	0.3859421227
192	0.3855405505
193	0.3853051748
194	0.3850567612
195	0.3846552145
196	0.3844985836
197	0.3842261798
198	0.3840694956
199	0.3837505862
200	0.3835128305
201	0.3832726744
202	0.3830992972
203	0.3827842794
204	0.3826073231
205	0.3824054649
206	0.3821577579
207	0.3819741496
208	0.3817546277
209	0.3816277162
210	0.3814663004
211	0.3811761111
212	0.3809501203
213	0.3808030582
214	0.3806021271
215	0.3803731446
216	0.3802317948
217	0.3800614013
218	0.3798383379
219	0.3795874416
220	0.3794126106
221	0.3791794927
222	0.3790299179
223	0.3789272294
224	0.3787724306
225	0.3785410463
226	0.3783110369
227	0.378093986
228	0.3778667587
229	0.3775530591
230	0.3773616019
231	0.3772378319
232	0.3770908435
233	0.3769517267
234	0.3766513569
235	0.3764757071
236	0.3761802129
237	0.3760011698
238	0.3758100981
239	0.3756321343
240	0.375504031
241	0.3752338008
242	0.3750827155
243	0.3748228373
244	0.3746381751
245	0.3745076109
246	0.3742920898
247	0.374122439
248	0.373851162
249	0.3736428199
250	0.373494564
251	0.3732920697
252	0.3730676568
253	0.3729120132
254	0.3726517889
255	0.3725057012
256	0.3723521573
257	0.3722074593
258	0.3720608301
259	0.3719015003
260	0.3717442744
261	0.3716427229
262	0.3714435928
263	0.3713109911
264	0.3710183839
265	0.3707814957
266	0.3706446901
267	0.370395537
268	0.3700283986
269	0.3698638179
270	0.3696255333
271	0.3692877557
272	0.3691452573
273	0.3688382498
274	0.3687222935
275	0.3685523796
276	0.368393011
277	0.3681127976
278	0.3679460427
279	0.3675372048
280	0.3673349672
281	0.3671795081
282	0.3669814195
283	0.3668418041
284	0.366630436
285	0.3664253197
286	0.3662000641
287	0.3660479618
288	0.3658364109
289	0.3656433434
290	0.3654801132
291	0.3653268031
292	0.3651999431
293	0.3650899077
294	0.3649400437
295	0.3647576681
296	0.3646053741
297	0.3644013589
298	0.3642617627
299	0.3641131247
300	0.3637402048
301	0.3635979409
302	0.3634502194
303	0.3633045392
304	0.3631864108
305	0.3629697115
306	0.362748337
307	0.3626378492
308	0.362445251
309	0.3623124151
310	0.3622086395
311	0.3620227873
312	0.3618156573
313	0.3613881974
314	0.361264688
315	0.3611112118
316	0.3610182592
317	0.3608808181
318	0.3607065406
319	0.3604904318
320	0.3603545227
321	0.3601827228
322	0.360031762
323	0.3598909131
324	0.3596161234
325	0.3594416553
326	0.3592093187
327	0.3591135797
328	0.3586028146
329	0.3584566052
330	0.3581548046
331	0.3579840746
332	0.3578431149
333	0.3577964838
334	0.3576770875
335	0.3574808226
336	0.3573902648
337	0.3572089539
338	0.3570824014
339	0.356845215
340	0.3567516331
341	0.3565135627
342	0.3564107987
343	0.3562291173
344	0.3560613595
345	0.3558865132
346	0.3557297242
347	0.3554976742
348	0.3552755471
349	0.3551108644
350	0.3549973927
351	0.3547934666
352	0.3547311491
353	0.3546081842
354	0.3544948438
355	0.3544274963
356	0.3542351903
357	0.3541425597
358	0.3539603072
359	0.3538689746
360	0.3537615988
361	0.3536455369
362	0.3534701219
363	0.3532603793
364	0.3531304716
365	0.3530279546
366	0.3528903554
367	0.3526504562
368	0.3523932376
369	0.3522391965
370	0.3521235338
371	0.3520382378
372	0.3519223419
373	0.3517931738
374	0.3516679851
375	0.351520626
376	0.3513703667
377	0.3512411141
378	0.3510950444
379	0.3509885204
380	0.3507524008
381	0.3506557619
382	0.35051978
383	0.3504396043
384	0.3503183874
385	0.3501750149
386	0.350036437
387	0.3499159138
388	0.3496652148
389	0.3495704281
390	0.3493952795
391	0.3492685908
392	0.3490655164
393	0.3489534324
394	0.3488099305
395	0.3487204362
396	0.3485867753
397	0.3483597615
398	0.3482786922
399	0.3480960261
400	0.3479060392
401	0.34772934
402	0.3476054264
403	0.3474640012
404	0.3473416962
405	0.3471708433
406	0.3469513285
407	0.3467796589
408	0.3466876689
409	0.3464380771
410	0.346343875
411	0.3462328595
412	0.3460949887
413	0.3459184902
414	0.3458300848
415	0.3457217456
416	0.3456176428
417	0.3453267791
418	0.3452089954
